"","Site ID","Site Name","Longitude","Latitude","Region","Activation Date","Deactivation Date"
"331","48_167_0053","NESSLER POOL","-94.919444","29.39",12,"1-Jan-79","30-Jul-07"
"332","48_167_0056","Texas City 34th Street","-94.94712","29.4057",12,"1-Jun-03",""
"333","48_167_0571","Clear Creek High School","-95.070556","29.525556",12,"12-Sep-03",""
"334","48_167_0615","Texas City BP 31st Street (Site 1)","-94.94108","29.38145",12,"31-Dec-09",""
"335","48_167_0616","Texas City BP Onsite (Site 2)","-94.91544","29.36886",12,"23-Mar-10",""
"336","48_167_0621","Texas City BP Logan Street (Site 3)","-94.93022","29.380981",12,"7-Apr-10",""
"337","48_167_0683","Texas City 11th Street","-94.91019","29.3787",12,"1-Jan-10","31-Jul-16"
"338","48_167_0697","UH Coastal Center","-95.0414","29.3879",12,"31-Mar-10",""
"339","48_167_1001","Willowick","-95.198611","29.530556",12,"1-Jan-72","31-Dec-81"
"340","48_167_1002","TEXAS CITY","-94.933333","29.397778",12,"1-Jan-74","10-Jul-04"
"341","48_167_1003","Texas City North 5th &amp; 9th","-94.904167","29.388889",12,"1-Jan-72","31-Dec-81"
"342","48_167_1005","LEAGUE CITY COUNTY BLDG","-95.104444","29.503889",12,"1-Jan-99","1-Mar-03"
"343","48_167_1011","Texas City 16th &amp; Texas Avenue","-94.918056","29.383611",12,"1-Jan-72","31-Dec-81"
"344","48_167_1034","Galveston 99th Street","-94.8612886","29.2544736",12,"20-Mar-07",""
"345","48_167_1043","Texas City 1972-81","-94.981944","29.381944",12,"1-Jan-72","31-Dec-81"
"346","48_167_2001","Rosenburg Avenue","-94.795833","29.3",12,"1-Jan-59","31-Dec-81"
"347","48_167_3001","Carbide Park","-95","29.358333",12,"1-Jan-76","27-Jun-88"
"348","48_167_4001","League City East Main","-95.069444","29.525",12,"1-Jan-71","27-Jun-88"
"349","48_167_5001","USEPA-481675001","-94.920833","29.405",12,"1-Jan-59","31-Dec-71"
"350","48_167_5005","Galveston Airport KGLS","-94.864167","29.270278",12,"22-Jan-03",""
"351","48_175_0624","Coleto","-97.220882","28.720926",14,"10-Jul-10",""
"352","48_179_0001","Robert E. Lee JH School","-100.958333","35.5525",1,"1-Jan-72","31-Dec-81"
"353","48_181_0001","Grayson County Health Department","-96.535278","33.756944",4,"1-Jan-81","26-Dec-82"
"354","48_181_0002","Sherman Police Department","-96.611111","33.641667",4,"1-Jan-72","31-Dec-81"
"355","48_181_0003","Grayson County Health Department - Houston","-96.615278","33.635278",4,"1-Jan-74","31-Dec-81"
"356","48_183_0001","Longview","-94.7118107","32.3786823",5,"1-Jan-77",""
"357","48_183_0002","Longview Big Woods C605","-94.778889","32.617778",5,"23-Aug-00","22-Oct-01"
"358","48_187_0504","New Braunfels Airport","-98.0288889","29.7041667",13,"30-Aug-02",""
"359","48_187_0506","Seguin Outdoor Learning Center","-97.932222","29.588611",13,"26-Mar-03",""
"360","48_187_5004","New Braunfels Airport KBAZ","-98.0452778","29.7086111",13,"22-Jan-03",""
"361","48_189_0001","Plainview High School","-101.736389","34.180833",2,"1-Jan-75","31-Dec-81"
"362","48_199_0002","Kountze City Hall","-94.315556","30.381389",10,"1-Jan-89","31-Dec-93"
"363","48_201_0001","Roseland Park","-94.945833","29.723056",12,"1-Jan-67","11-Aug-83"
"364","48_201_0002","Park Court Water Tower","-94.980556","29.749444",12,"1-Jan-67","27-Dec-84"
"365","48_201_0003","Bayway Drive Fire Station","-95.029167","29.773056",12,"1-Jan-70","31-Dec-81"
"366","48_201_0004","McElroy Park","-95.011944","29.770278",12,"1-Dec-79","15-Jul-97"
"367","48_201_0005","Spring High School","-95.430833","30.051944",12,"1-Jan-72","31-Dec-81"
"368","48_201_0006","Channelview High School","-95.124167","29.791111",12,"1-Jan-72","31-Dec-81"
"369","48_201_0007","Houston City Health Department","-95.383889","29.720833",12,"1-Jan-68","27-Jun-95"
"370","48_201_0008","Aberdeen","-95.44","29.7",12,"1-Jan-67","31-Dec-81"
"371","48_201_0009","Bellaire","-95.511944","29.71",12,"1-Jan-67","22-Apr-88"
"372","48_201_0010","Alabama","-95.439167","29.740833",12,"1-Jan-67","27-Aug-89"
"373","48_201_0011","Bingle-Malibu","-95.483889","29.82",12,"1-Jan-68","31-Dec-81"
"374","48_201_0012","Fulton","-95.381667","29.856111",12,"1-Jan-67","31-Dec-81"
"375","48_201_0013","North Wayside","-95.284722","29.827222",12,"1-Jan-67","31-Dec-81"
"376","48_201_0014","Pearl","-95.282222","29.774722",12,"1-Jan-68","31-Dec-81"
"377","48_201_0015","Market","-95.203889","29.769444",12,"1-Jan-68","31-Dec-81"
"378","48_201_0016","Vicksburg","-95.1875","29.777778",12,"1-Jan-67","31-Dec-81"
"379","48_201_0017","Clinton-Federal","-95.213056","29.733056",12,"1-Jan-73","13-Apr-83"
"380","48_201_0018","Bulk Materials Plant","-95.175","29.747222",12,"1-Jan-73","31-Dec-81"
"381","48_201_0019","Port Houston Terminal Office","-95.202778","29.745833",12,"1-Jan-72","22-Apr-88"
"382","48_201_0020","Bethlehem Steel","-95.103056","29.751944",12,"1-Jan-73","13-Apr-83"
"383","48_201_0021","Brady Island","-95.275","29.720278",12,"1-Jan-76","31-Dec-81"
"384","48_201_0023","HL&amp;P Bertron Station","-95.052778","29.725",12,"1-Jan-73","13-Apr-83"
"385","48_201_0024","Houston Aldine","-95.3261373","29.9010364",12,"1-Jan-74",""
"386","48_201_0025","Bulk Materials Plant 2","-95.164444","29.748611",12,"1-Jan-79","13-Apr-83"
"387","48_201_0026","Channelview","-95.1254948","29.8027073",12,"1-Jan-80",""
"388","48_201_0029","Northwest Harris County","-95.6739508","30.039524",12,"1-Jan-81",""
"389","48_201_0030","Channelview North","-95.1287108","29.8542881",12,"6-Dec-05","2-Oct-07"
"390","48_201_0031","Cloverleaf","-95.171389","29.778611",12,"1-Jan-83","27-Dec-84"
"391","48_201_0036","Jacinto Port","-95.1051","29.7761",12,"19-Jul-06",""
"392","48_201_0038","Parkhurst","-95.285556","29.837778",12,"1-Jan-75","31-Dec-82"
